gene_symbol,tsne_1,tsne_2
SLC30A9,105.338326,-25.267591
MTMR11,55.563717,-23.412613
COX15,91.06251,-20.52037
CCDC88C,104.86675,6.619476
YAF2,90.39275,5.2194495
ZMYND11,105.332344,-23.660652
WAS,71.75019,56.215244
DPEP1,4.548807,-33.049717
BID,94.2009,-21.336424
MATR3,107.88451,-50.333668
NPC1L1,12.805315,-29.224625
XYLT2,80.28621,-28.405138
RGPD5,84.76714,3.0239491
STMN4,24.229057,-32.00789
NUDCD3,98.96038,-26.613762
ISL1,2.387053,-15.234479
CHDH,50.95128,-24.108551
IL20RA,22.204433,-16.49129
CLCA1,1.5829421,-35.641872
CLCA4,1.4248284,-32.33914
GLT8D1,75.00446,-28.652655
ATP2C1,100.3004,-41.83053
IGF1,34.665535,-38.9846
SLC38A5,71.651924,46.631233
RALBP1,110.91598,-33.656296
RUFY3,106.83203,-12.811595
CNTN1,35.349213,-30.214165
SLC11A1,67.61301,52.18103
WWTR1,57.856945,-40.50067
AGPS,103.931046,-19.262718
ZNF285CP,22.5979,57.289124
STEEP1,89.28265,8.502928
ATP1A2,27.759222,-31.699192
TTC27,76.00298,-10.0014105
ZNF582,43.731148,17.498672
VSIG2,40.203552,27.601385
PHLDB1,62.52428,-41.74013
MARCO,48.10388,66.8268
CYP24A1,18.744902,-12.737131
PRDM11,57.126137,-19.332006
SYT13,27.344374,-25.635775
SNAI2,42.98725,-33.67258
CD74,95.118,17.21213
HGF,63.06882,53.239723
ZRANB1,101.73763,-6.166075
NCDN,72.5278,-34.36496
ADGRA2,48.78836,-39.56461
CCT8L1P,-17.218552,-53.689903
ZFP64,79.048,-1.9164292
MNAT1,87.5806,-12.822545
SAMD4A,60.195343,-37.664364
RUNX3,72.28711,56.298878
MRE11,96.01734,-19.75154
PLEKHB1,51.251934,-17.241823
SERPINB1,102.65406,10.898401
CYP3A43,34.92952,33.51515
SLC7A9,35.728184,32.77935
SPAST,96.23407,-3.034556
NRXN3,38.37476,-28.257038
OSBPL5,65.10746,-27.336353
AQR,108.91201,-26.31254
CPS1,49.11827,-25.264399
C8B,11.000177,-33.850418
FHL1,62.703327,-30.422335
RTF2,104.35098,-34.54694
GABRA1,22.721003,-33.288734
NLRP2,47.95068,21.529688
SLC45A4,69.212715,-30.797316
RNF10,111.69828,-41.4183
ZNF839,75.7738,0.009500623
ZDHHC6,98.32436,-20.653555
GRAMD1B,76.174614,6.730441
RNH1,85.52225,-33.704433
NDUFS1,106.236404,-26.542618
RB1CC1,113.20753,-27.404894
ERP44,111.1442,-28.256096
ALAS1,87.67137,-32.053894
BIRC3,93.24968,19.567171
AKAP11,106.802124,-19.412947
GLRX2,83.0444,-14.504545
SNAPC1,78.17738,-3.6477678
DERA,86.310974,-12.545925
STRAP,104.70299,-41.25434
ABCC2,60.019173,7.3810935
DEF6,95.28636,18.083393
PLEKHO1,103.59651,4.5871835
GCLM,95.22662,-20.06414
UBR2,113.327095,-23.757843
EHD2,53.98615,-39.394318
DEPDC1,56.31548,-56.20611
CCDC28A,78.5031,-6.4265084
RRAGD,79.60511,0.8192619
HSF2,83.90316,-8.221819
PHF20,110.4485,-20.595285
HSD17B6,35.233902,-7.4188085
NR1H3,62.566113,-11.13921
TYMP,95.278564,19.814531
NCAPH2,83.79569,-29.104517
TOMM34,93.42707,-23.927439
SEC63,112.03316,-31.84435
KPNA6,110.791245,-34.022842
VIM,108.916855,-51.74477
RTEL1-TNFRSF6B,54.992367,-16.582048
FAS,100.70693,9.700533
RNASET2,103.9821,7.144298
CD44,117.39969,-19.810148
KCNG1,42.506187,-22.112932
AGPAT4,80.59402,4.8457007
SLAMF7,68.76165,56.89098
BTN3A1,93.93099,16.40563
MIPEP,69.476776,-13.805416
PRKCH,93.36885,15.571393
INSRR,2.0153952,-14.877844
IFNGR1,105.8036,-8.522259
B4GALT7,71.12999,-23.353815
SH2D2A,65.69692,57.447754
VRK2,85.39576,-5.187105
TNFRSF1B,74.06572,55.962654
VEZT,105.07125,-24.536678
POU2F2,90.73656,21.856441
BRD9,85.50668,-38.403896
SNX1,108.13267,-33.254814
TBPL1,81.8081,-10.809812
ARNTL2,60.279358,-33.34815
BCLAF1,112.48582,-39.855515
SLC39A9,101.3629,-28.49804
ANK1,60.73824,4.59715
IBSP,-19.577198,-51.754128
TFB1M,78.30977,-12.641719
RABEP1,105.78416,-23.626425
HMGB3,70.863396,-43.35005
NUP160,101.618515,-26.764463
BAK1,71.21237,-27.352179
MUSK,14.409747,-17.294727
IKZF2,71.209435,5.3434978
GRN,99.82352,-48.750565
FAM13B,103.03812,-6.6352572
ARHGAP31,93.78452,12.03238
CENPQ,61.58377,-6.7138567
SARS1,106.80282,-41.03292
RANBP3,82.57978,-37.510357
ARID4A,110.177,-11.854272
EIPR1,72.69833,-21.036118
PNPLA6,76.48784,-38.621704
IFT88,77.45505,3.4388266
ALG1,91.4487,-10.710692
ZCCHC8,96.15216,-3.187726
ABCF2,86.642426,-24.507294
CHPF2,80.3332,-36.5625
LRRC7,70.70453,25.33664
FUT8,95.88519,-3.2171996
UBA6,108.50928,-26.4686
GAB2,103.45818,-2.8126147
ATP6V0A1,101.70858,-19.77864
PIAS1,111.536575,-21.546532
SLC4A7,105.1109,-18.230698
APBA2,43.092773,-17.862316
MAP2K3,83.901794,-35.186398
CLXN,6.29343,-26.186798
TMSB10,104.760185,-54.358044
ASTE1,70.83909,-4.163296
RNF19A,112.61259,-15.781253
PEX3,74.39072,-11.741743
GABARAPL2,103.99722,-32.275673
MYOC,-1.8194287,-22.32787
SH3YL1,86.16184,0.07851681
FAM136A,86.618195,-23.87403
VCL,110.03341,-41.34542
DEPDC1B,55.284794,-55.763115
DAPK2,75.709946,14.532153
NSMAF,103.68946,-7.8159385
ADSS2,104.89094,-22.32332
STAP1,54.313213,64.91489
TIMP2,75.25412,-42.050842
RFC1,108.200195,-27.88202
TBC1D23,100.43828,-10.352636
CUL3,108.46489,-25.207027
MYOM2,34.02702,4.111021
OTC,8.35278,-33.74128
CYP46A1,70.34314,27.380655
ZZZ3,103.86114,-16.873777
SLC18A1,-13.684508,21.614868
USP2,38.095356,-16.42401
